Age	Height	Club_country	Nation_team	Position	Captain	Cost	Minutes_in_game	Games_count	Goals_count
Apr 2, 1996 (28)	1,90 m	England	Cameroon	Goalkeeper	False	€35.00m Last update: May 27, 2024	900'	10	-
Dec 9, 1997 (26)	1,82 m	England	England	Left Winger	False	€35.00m Last update: May 27, 2024	521'	9	3
Oct 24, 1997 (26)	1,90 m	England	Mexico	Defensive Midfield	False	€35.00m Last update: May 27, 2024	381'	7	-
Jun 25, 1997 (27)	1,87 m	England	Uruguay	Defensive Midfield	False	€35.00m Last update: May 27, 2024	495'	8	-
Nov 19, 1998 (25)	1,85 m	Netherlands	Netherlands	Central Midfield	False	€35.00m Last update: Oct 14, 2024	672'	9	1
Jun 17, 2001 (23)	1,79 m	Netherlands	Netherlands	Central Midfield	True	€35.00m Last update: Oct 14, 2024	701'	9	2
Jan 10, 1999 (25)	1,81 m	England	England	Attacking Midfield	False	€35.00m Last update: May 27, 2024	215'	5	-
Jun 6, 1999 (25)	1,90 m	Italy	Italy	Centre-Back	False	€35.00m Last update: Jun 5, 2024	630'	7	1
Mar 11, 1998 (26)	1,90 m	England	France	Centre-Back	False	€35.00m Last update: Oct 1, 2024	415'	6	-
Aug 17, 1993 (31)	1,88 m	England	Brazil	Goalkeeper	False	€35.00m Last update: May 27, 2024	810'	9	-
Jun 21, 1997 (27)	1,89 m	Italy	Ukraine	Centre-Forward	False	€35.00m Last update: Jun 7, 2024	719'	9	4
Sep 22, 1999 (25)	1,78 m	Italy	Italy	Central Midfield	False	€35.00m Last update: Jun 5, 2024	379'	9	1
May 31, 1996 (28)	1,92 m	England	Denmark	Centre-Back	False	€35.00m Last update: May 27, 2024	540'	6	-
Jan 30, 2001 (23)	1,85 m	England	England	Central Midfield	False	€35.00m Last update: May 27, 2024	244'	6	-
Apr 3, 1996 (28)	1,89 m	France	Spain	Central Midfield	False	€35.00m Last update: Jul 18, 2024	393'	8	1
Sep 22, 1999 (25)	1,78 m	Italy	Italy	Central Midfield	False	€35.00m Last update: Jun 5, 2024	379'	9	1
May 10, 1997 (27)	1,84 m	England	Brazil	Centre-Forward	False	€35.00m Last update: Oct 1, 2024	25'	2	-
Oct 24, 1997 (26)	1,90 m	England	Mexico	Defensive Midfield	False	€35.00m Last update: May 27, 2024	381'	7	-
Mar 11, 1998 (26)	1,90 m	England	France	Centre-Back	False	€35.00m Last update: Oct 1, 2024	415'	6	-
Jun 21, 1997 (27)	1,89 m	Italy	Ukraine	Centre-Forward	False	€35.00m Last update: Jun 7, 2024	719'	9	4
Dec 13, 1997 (26)	1,88 m	Netherlands	Slovakia	Centre-Back	False	€35.00m Last update: May 31, 2024	900'	10	1
Jan 1, 1999 (25)	1,95 m	Italy	Italy	Centre-Forward	False	€35.00m Last update: Jun 5, 2024			
Jun 25, 1997 (27)	1,87 m	England	Uruguay	Defensive Midfield	False	€35.00m Last update: May 27, 2024	495'	8	-
Aug 30, 1996 (28)	1,82 m	England	Mali	Defensive Midfield	False	€35.00m Last update: May 27, 2024	354'	6	1
Jun 6, 1999 (25)	1,90 m	Italy	Italy	Centre-Back	False	€35.00m Last update: Jun 5, 2024	630'	7	1
