age,height,captain,cost,goals_amount,minutes_per_game,club_Turkiye,club_Italy,club_France,club_Spain,club_Netherlands,club_Germany,club_Portugal,club_Saudi_arabia,club_Brazil,club_Ukraine,club_England,national_Hungary,national_France,national_Jamaica,national_Croatia,national_Sweden,national_Switzerland,national_Burkina_faso,national_England,national_Morocco,national_Uruguay,national_Spain,national_Algeria,national_Guinea,national_Norway,national_Georgia,national_Ghana,national_Mali,national_Ukraine,national_Slovakia,national_Slovenia,national_Senegal,national_Nigeria,national_Belgium,national_Argentina,national_Germany,national_Portugal,national_Brazil,national_Denmark,national_Ivory_coast,national_South_korea,national_Usa,national_Colombia,national_Ecuador,national_Italy,national_Turkiye,national_Egypt,national_Mexico,national_Cote_d_ivoire,national_Netherlands,national_Ireland,national_Cameroon,national_Japan,national_Wales,national_Canada,national_Serbia,target
0.5625,0.2857142857142859,0,0.21212121212121213,0.0,0.29926470588235293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.5625,0.7499999999999998,0,0.24242424242424243,0.16666666666666666,0.9037254901960783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-back
0.3125,0.46428571428571463,0,0.18181818181818182,0.5,0.7429193899782134,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.3125,0.42857142857142894,0,0.21212121212121213,0.08333333333333333,0.660239651416122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.375,0.6428571428571433,0,0.24242424242424243,0.08333333333333333,0.8567538126361655,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.8125,0.14285714285714296,0,0.21212121212121213,0.08333333333333333,0.7620915032679738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attacking-midfield
0.3125,0.5357142857142861,0,0.18181818181818182,0.5,0.6758169934640522,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-winger
0.5,0.8214285714285713,0,0.21212121212121213,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-back
0.5625,0.21428571428571447,0,0.21212121212121213,0.0,0.8974945533769063,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-back
0.3125,0.5714285714285718,0,0.24242424242424243,0.08333333333333333,0.8382352941176471,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-back
0.5,0.2500000000000002,0,0.24242424242424243,0.08333333333333333,0.827156862745098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,central-midfield
0.5,0.857142857142857,0,0.24242424242424243,0.5,0.9037254901960783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.375,0.8214285714285713,0,0.2727272727272727,0.0,0.9705882352941175,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-back
0.625,0.21428571428571447,0,0.21212121212121213,0.16666666666666666,0.7453159041394335,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attacking-midfield
0.5,0.8214285714285713,0,0.24242424242424243,0.08333333333333333,0.8897058823529411,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.4375,0.03571428571428574,0,0.24242424242424243,0.25,0.622549019607843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.25,0.7857142857142856,0,0.18181818181818182,0.08333333333333333,0.3752941176470588,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.3125,0.3214285714285717,0,0.24242424242424243,0.0,0.8711328976034857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,defensive-midfield
0.625,0.42857142857142894,0,0.15151515151515152,0.0,0.12941176470588234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,central-midfield
0.4375,0.7499999999999998,0,0.18181818181818182,0.5833333333333334,0.9082788671023965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,centre-forward
0.375,0.3214285714285717,0,0.15151515151515152,0.16666666666666666,0.6912745098039215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left-winger
0.5,0.6428571428571433,0,0.18181818181818182,0.08333333333333333,0.47296918767506996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.625,0.3214285714285717,0,0.15151515151515152,0.3333333333333333,0.7036764705882352,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-winger
0.0625,0.14285714285714296,0,0.15151515151515152,0.16666666666666666,0.12821350762527234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,centre-forward
0.5,0.42857142857142894,0,0.15151515151515152,0.08333333333333333,0.9624999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right-back
